Internal ADC,Weight,Stage,Value
ADC0,W0,0.0,0xbf0a
ADC0,W0,1.0,0xdf83
ADC0,W0,2.0,0xefbb
ADC0,W0,3.0,0xf7e5
ADC0,W0,4.0,0xfbf7
ADC0,W0,5.0,0xfdfd
ADC0,W0,6.0,0xfeff
ADC0,W2,0.0,0x40f7
ADC0,W2,1.0,0x207d
ADC0,W2,2.0,0x1044
ADC0,W2,3.0,0x81c
ADC0,W2,4.0,0x409
ADC0,W2,5.0,0x203
ADC0,W2,6.0,0x100
ADC1,W0,0.0,0xbedd
ADC1,W0,1.0,0xdf6a
ADC1,W0,2.0,0xefaf
ADC1,W0,3.0,0xf7de
ADC1,W0,4.0,0xfbf4
ADC1,W0,5.0,0xfdfd
ADC1,W0,6.0,0xfeff
ADC1,W2,0.0,0x412a
ADC1,W2,1.0,0x2094
ADC1,W2,2.0,0x1050
ADC1,W2,3.0,0x821
ADC1,W2,4.0,0x40c
ADC1,W2,5.0,0x204
ADC1,W2,6.0,0x101
