Internal ADC,Weight,Stage,Value
ADC0,W0,0.0,0xbef7
ADC0,W0,1.0,0xdf80
ADC0,W0,2.0,0xefb9
ADC0,W0,3.0,0xf7e3
ADC0,W0,4.0,0xfbf6
ADC0,W0,5.0,0xfdfd
ADC0,W0,6.0,0xfeff
ADC0,W2,0.0,0x4107
ADC0,W2,1.0,0x2083
ADC0,W2,2.0,0x1048
ADC0,W2,3.0,0x81b
ADC0,W2,4.0,0x40a
ADC0,W2,5.0,0x204
ADC0,W2,6.0,0x101
ADC1,W0,0.0,0xbec8
ADC1,W0,1.0,0xdf64
ADC1,W0,2.0,0xefaf
ADC1,W0,3.0,0xf7de
ADC1,W0,4.0,0xfbf3
ADC1,W0,5.0,0xfdfb
ADC1,W0,6.0,0xfefe
ADC1,W2,0.0,0x4132
ADC1,W2,1.0,0x2095
ADC1,W2,2.0,0x1051
ADC1,W2,3.0,0x822
ADC1,W2,4.0,0x40d
ADC1,W2,5.0,0x204
ADC1,W2,6.0,0x101
